# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
5.087337075867893017e-16,1.655553393197044706e-14,9.716555941312640260e-13,4.253870078741145058e-15
5.374687667913616733e-16,1.636127256715092041e-14,9.601926816332399913e-13,4.203138343147864444e-15
6.975442916203687229e-16,1.620278225835051449e-14,9.503466718618809094e-13,4.159656382261900963e-15
6.992553021475648581e-16,1.605719269925608880e-14,9.417991457741271109e-13,4.122088811354205282e-15
7.798654580001037141e-16,1.593134174873276549e-14,9.340167246487376521e-13,4.088883703329256910e-15
8.083720459175619700e-16,1.581570192773109547e-14,9.271381440930050664e-13,4.058550979185497438e-15
7.472568545480900970e-16,1.569778532013890882e-14,9.202984260855216043e-13,4.029650355391937109e-15
6.621543224720779056e-16,1.558412307816502506e-14,9.141270236922290294e-13,4.000783884812578078e-15
6.096873341263672534e-16,1.546936031101171976e-14,9.079035198364092527e-13,3.970593423445424819e-15
8.043908086537434820e-16,1.534410879055962206e-14,8.993044214794087914e-13,3.937762777348474223e-15
7.074399939261281015e-16,1.519290325694292480e-14,8.905961778903136301e-13,3.901024285820109707e-15
5.347632348633278223e-16,1.502517709892006269e-14,8.816498009345493731e-13,3.859169556099345547e-15
7.853547641487674736e-16,1.485446773165591033e-14,8.707968133442242117e-13,3.811064010118499642e-15
7.428943097325291577e-16,1.463599759852295816e-14,8.580223641421294774e-13,3.755803379647024379e-15
5.452835658342066088e-16,1.437965042111169512e-14,8.435388987912665067e-13,3.693414133423953180e-15
5.855366651248224017e-16,1.411976233581933941e-14,8.282050704087237575e-13,3.625480104443329925e-15
7.315546213990871985e-16,1.384736001219223760e-14,8.115013212604674909e-13,3.553827812654281870e-15
5.882424510874486254e-16,1.355804031506204831e-14,7.953051522600216157e-13,3.480179950935279889e-15
6.782169694105416918e-16,1.327467269000241817e-14,7.782512639603981380e-13,3.406141940041770787e-15
6.588364353405661660e-16,1.298710710994478314e-14,7.612431940995274513e-13,3.333196167606585863e-15
7.508836977504024083e-16,1.272100893426161574e-14,7.453915416971428993e-13,3.262703062086264727e-15
7.553698080513415138e-16,1.246193152493558306e-14,7.301470476732617902e-13,3.195908116865449993e-15
6.915203510471284234e-16,1.221766769108056985e-14,7.160367728338302651e-13,3.133951870158710957e-15
7.113639129406821287e-16,1.199992388950898816e-14,7.031153550707857602e-13,3.077821345211147832e-15
8.026895699525489436e-16,1.180793987763570257e-14,6.913496288735412676e-13,3.027613487857285821e-15
4.015108466812104375e-16,1.161113041970998843e-14,6.814779745404164347e-13,2.982003852579552714e-15
6.847385017855311760e-16,1.146884012304225745e-14,6.718353287703237856e-13,2.942096816164268770e-15
7.888038251351246945e-16,1.133674054640457275e-14,6.637054530007346990e-13,2.906459406588973341e-15
6.018741154433001932e-16,1.120216296588206644e-14,6.564808241927993711e-13,2.874606280101936077e-15
6.943498296040299503e-16,1.109783287868494382e-14,6.500675081141386007e-13,2.846098753766210961e-15
6.447922368912543438e-16,1.099730372275323181e-14,6.444447720721891311e-13,2.820523323863627051e-15
4.166844079890602777e-16,1.089589534723754347e-14,6.394073742567676154e-13,2.797487675591069860e-15
5.069483292568554468e-16,1.081611222659731095e-14,6.341463444565405699e-13,2.776617280538787107e-15
5.165380710111074378e-16,1.074498606392507230e-14,6.300694613403280746e-13,2.757552526665015531e-15
5.310338420138947113e-16,1.067670754760710832e-14,6.259544186385077258e-13,2.739946336268734214e-15
6.642299463760014565e-16,1.061966096974636949e-14,6.220654170042166116e-13,2.723462236308686987e-15
7.256239449173596465e-16,1.056366662889183714e-14,6.186289026600252718e-13,2.707772852552151297e-15
6.545453548075754316e-16,1.050242350189044218e-14,6.154044709483723653e-13,2.692558804633663184e-15
7.862986623716484076e-16,1.044886781849340122e-14,6.116095958064228266e-13,2.677507983298498778e-15
7.125581239585375780e-16,1.038679866028380940e-14,6.083051746705046407e-13,2.662315193999968837e-15
6.678043598865839180e-16,1.032440224082524621e-14,6.048501923774504888e-13,2.646682152696995384e-15
6.229819036856424302e-16,1.025967809720651243e-14,6.012965486694854375e-13,2.630317820226220962e-15
7.280331344404644572e-16,1.019758968597616741e-14,5.972211399957963690e-13,2.612939061062695811e-15
8.738581008525066084e-16,1.013452360776294646e-14,5.930363580012271670e-13,2.594271610698185638e-15
8.040528502419707562e-16,1.005242489232712790e-14,5.884985980461029287e-13,2.574053603992272229e-15
8.171657656635480797e-16,9.967856167006364493e-15,5.834649515128141329e-13,2.552146894682330479e-15
8.192073937657317890e-16,9.875380277273234336e-15,5.779495853731229978e-13,2.528622575536656933e-15
7.834002041058187014e-16,9.774575757250308898e-15,5.720495113838909068e-13,2.503630729280040460e-15
7.427259834151660902e-16,9.670203745900951876e-15,5.660729264925924879e-13,2.477325282755995645e-15
8.354686322623462799e-16,9.568973655538875515e-15,5.597847204853085640e-13,2.449857810660449274e-15
7.650569249447973013e-16,9.456026751725682671e-15,5.535118716265302733e-13,2.421376876748313064e-15
8.103274876558492872e-16,9.344003387493307461e-15,5.467249736036811204e-13,2.392027454495869371e-15
8.508140566073031812e-16,9.225026160078600366e-15,5.392998294607164866e-13,2.361950426243083439e-15
7.662836622971293615e-16,9.102347406146956188e-15,5.324843557315732949e-13,2.331282159068838738e-15
7.404391262402542320e-16,8.981658004733161937e-15,5.255927072920432326e-13,2.300154154988830671e-15
8.257635756708317129e-16,8.865419899507490883e-15,5.185041459399635302e-13,2.268692772509727133e-15
7.934948893207472835e-16,8.740024067673480009e-15,5.112186830307268595e-13,2.237019016119902037e-15
7.120622853939117378e-16,8.610522794511936914e-15,5.038231079200937558e-13,2.205248389943577891e-15
7.314147610713307136e-16,8.489200112715614964e-15,4.966720298310342676e-13,2.173490811525373784e-15
8.113916821594300606e-16,8.370424789410216790e-15,4.893644958987173737e-13,2.141850581539283556e-15
8.332374438679560771e-16,8.249057711746680430e-15,4.821152328704210142e-13,2.110426405124798698e-15
7.337354594815639619e-16,8.125918356244935724e-15,4.754554677946926094e-13,2.079311460532887366e-15
7.137484138429362962e-16,8.005398941108345305e-15,4.684379877095099663e-13,2.048593510811938817e-15
7.134668108917172419e-16,7.885933665189851272e-15,4.612915252899311650e-13,2.018355054367720123e-15
7.578438057812047237e-16,7.772987394835966424e-15,4.544772160933734587e-13,1.988673510386762910e-15
